TOKEN TYPE           LEXEME                    LINE
--------------------------------------------------------------------------------
INCORPORATE          #Incorporate              2
LESS                 <                         2
TIMELINE             timeline                  2
DOT                  .                         2
IDENTIFIER           h                         2
GREATER              >                         2
CONSTANT             #Constant                 3
IDENTIFIER           MAX_SIZE                  3
INTEGER_LITERAL      100                       3
STRUCTURE            structure                 5
IDENTIFIER           Point                     5
LBRACE               {                         5
ENERGY               Energy                    6
IDENTIFIER           x                         6
SEMICOLON            ;                         6
ENERGY               Energy                    7
IDENTIFIER           y                         7
SEMICOLON            ;                         7
RBRACE               }                         8
SEMICOLON            ;                         8
MATTER               Matter                    10
IDENTIFIER           factorial                 10
LPAREN               (                         10
MATTER               Matter                    10
IDENTIFIER           n                         10
RPAREN               )                         10
LBRACE               {                         10
ERA                  Era                       11
LPAREN               (                         11
IDENTIFIER           n                         11
LESS_EQUAL           <=                        11
INTEGER_LITERAL      1                         11
RPAREN               )                         11
LBRACE               {                         11
RESOLVE              Resolve                   12
INTEGER_LITERAL      1                         12
SEMICOLON            ;                         12
RBRACE               }                         13
RESOLVE              Resolve                   14
IDENTIFIER           n                         14
MULTIPLY             *                         14
IDENTIFIER           factorial                 14
LPAREN               (                         14
IDENTIFIER           n                         14
MINUS                -                         14
INTEGER_LITERAL      1                         14
RPAREN               )                         14
SEMICOLON            ;                         14
RBRACE               }                         15
EVENT                Event                     17
IDENTIFIER           main                      17
LPAREN               (                         17
RPAREN               )                         17
LBRACE               {                         17
MATTER               Matter                    19
IDENTIFIER           numbers                   19
LBRACKET             [                         19
INTEGER_LITERAL      10                        19
RBRACKET             ]                         19
SEMICOLON            ;                         19
ENERGY               Energy                    20
IDENTIFIER           temperature               20
ASSIGN               =                         20
FLOAT_LITERAL        98.6                      20
SEMICOLON            ;                         20
ATOM                 Atom                      21
IDENTIFIER           initial                   21
ASSIGN               =                         21
CHAR_LITERAL         'A'                       21
SEMICOLON            ;                         21
STREAM               Stream                    22
IDENTIFIER           message                   22
ASSIGN               =                         22
STRING_LITERAL       "ChronoScript is running" 22
SEMICOLON            ;                         22
TRUTH                Truth                     23
IDENTIFIER           isActive                  23
ASSIGN               =                         23
INTEGER_LITERAL      1                         23
SEMICOLON            ;                         23
ENERGY               Energy                    26
IDENTIFIER           result                    26
ASSIGN               =                         26
SINE                 sine                      26
LPAREN               (                         26
FLOAT_LITERAL        45.0                      26
RPAREN               )                         26
PLUS                 +                         26
COSINE               cosine                    26
LPAREN               (                         26
FLOAT_LITERAL        30.0                      26
RPAREN               )                         26
SEMICOLON            ;                         26
MATTER               Matter                    27
IDENTIFIER           absValue                  27
ASSIGN               =                         27
ABSOLUTE             absolute                  27
LPAREN               (                         27
MINUS                -                         27
INTEGER_LITERAL      42                        27
RPAREN               )                         27
SEMICOLON            ;                         27
ENERGY               Energy                    28
IDENTIFIER           sqrtValue                 28
ASSIGN               =                         28
SQUAREROOT           squareroot                28
LPAREN               (                         28
FLOAT_LITERAL        16.0                      28
RPAREN               )                         28
SEMICOLON            ;                         28
MATTER               Matter                    31
IDENTIFIER           a                         31
ASSIGN               =                         31
INTEGER_LITERAL      5                         31
SEMICOLON            ;                         31
MATTER               Matter                    32
IDENTIFIER           b                         32
ASSIGN               =                         32
INTEGER_LITERAL      3                         32
SEMICOLON            ;                         32
MATTER               Matter                    33
IDENTIFIER           bitwiseAnd                33
ASSIGN               =                         33
IDENTIFIER           a                         33
BITWISE_AND          &                         33
IDENTIFIER           b                         33
SEMICOLON            ;                         33
MATTER               Matter                    34
IDENTIFIER           bitwiseOr                 34
ASSIGN               =                         34
IDENTIFIER           a                         34
BITWISE_OR           |                         34
IDENTIFIER           b                         34
SEMICOLON            ;                         34
MATTER               Matter                    35
IDENTIFIER           shifted                   35
ASSIGN               =                         35
IDENTIFIER           a                         35
LEFT_SHIFT           <<                        35
INTEGER_LITERAL      2                         35
SEMICOLON            ;                         35
ERA                  Era                       38
LPAREN               (                         38
IDENTIFIER           temperature               38
GREATER              >                         38
FLOAT_LITERAL        100.0                     38
RPAREN               )                         38
LBRACE               {                         38
BROADCAST            Broadcast                 39
LPAREN               (                         39
STRING_LITERAL       "Too hot!"                39
RPAREN               )                         39
SEMICOLON            ;                         39
RBRACE               }                         40
ALTERNATE            Alternate                 40
ERA                  Era                       40
LPAREN               (                         40
IDENTIFIER           temperature               40
LESS                 <                         40
FLOAT_LITERAL        32.0                      40
RPAREN               )                         40
LBRACE               {                         40
BROADCAST            Broadcast                 41
LPAREN               (                         41
STRING_LITERAL       "Too cold!"               41
RPAREN               )                         41
SEMICOLON            ;                         41
RBRACE               }                         42
ALTERNATE            Alternate                 42
LBRACE               {                         42
BROADCAST            Broadcast                 43
LPAREN               (                         43
STRING_LITERAL       "Just right!"             43
RPAREN               )                         43
SEMICOLON            ;                         43
RBRACE               }                         44
LOOP                 Loop                      47
LPAREN               (                         47
MATTER               Matter                    47
IDENTIFIER           i                         47
ASSIGN               =                         47
INTEGER_LITERAL      0                         47
SEMICOLON            ;                         47
IDENTIFIER           i                         47
LESS                 <                         47
INTEGER_LITERAL      5                         47
SEMICOLON            ;                         47
IDENTIFIER           i                         47
ASSIGN               =                         47
IDENTIFIER           i                         47
PLUS                 +                         47
INTEGER_LITERAL      1                         47
RPAREN               )                         47
LBRACE               {                         47
ERA                  Era                       48
LPAREN               (                         48
IDENTIFIER           i                         48
EQUAL                ==                        48
INTEGER_LITERAL      2                         48
